================================================================================
动销品管理记录 - 2026-01-14
表名: ROA1_DE
记录时间: 2026-01-15 20:01:39
================================================================================

【统计信息】
日期：2026-01-14
前一天上升期：1个
计算上升期：2个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：1个（选定日期Status=1的数量）
差值：1个
非上升期：226个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【新增上升期商品ID】
商品数量: 1个
goods_id: 604251883428774

【上升期商品】
商品数量: 1个

603999554078277 - 加入时间: 2025-11-15, Reason: Secondary_traffic_restricted
604001701566147 - 加入时间: 2025-11-03, Reason: Out_of_stock
604001701566213 - 加入时间: 2025-12-02, Reason: Out_of_stock
604003849047286 - 加入时间: 2025-10-30, Reason: Secondary_traffic_restricted
604003849076516 - 加入时间: 2025-11-29, Reason: Blocked (Children)
604011902154163 - 加入时间: 2025-12-16, Reason: Secondary_traffic_restricted
604015123335041 - 加入时间: 2025-11-30, Reason: Out_of_stock
604015123343922 - 加入时间: 2025-11-07, Reason: None
604016733989837 - 加入时间: 2025-10-25, Reason: Secondary_traffic_restricted
604023176446218 - 加入时间: 2025-11-03, Reason: Out_of_stock
604039282543325 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
604040356300211 - 加入时间: 2025-10-19, Reason: None
604043040670898 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
604044651266038 - 加入时间: 2025-12-07, Reason: Secondary_traffic_restricted
604048946244037 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
604048946247677 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
604048946251462 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
604053241215740 - 加入时间: 2025-12-06, Reason: Blocked
604058073069915 - 加入时间: 2025-11-27, Reason: Secondary_traffic_restricted
604065052340405 - 加入时间: 2025-11-29, Reason: Out_of_stock
