================================================================================
动销品管理记录 - 2026-01-19
表名: ROA1_FR
记录时间: 2026-01-20 15:12:55
================================================================================

【统计信息】
日期：2026-01-19
前一天上升期：17个
计算上升期：17个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：0个（选定日期Status=1的数量）
差值：17个
非上升期：244个
新增上升期：0个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：0个
！！！由上升期到非上升期：0个

【非上升期商品】
商品数量: 244个

603926539638802 - 加入时间: 2025-12-05, Reason: Out_of_stock
603928150248642 - 加入时间: 2025-12-16, Reason: None
603930834665228 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603942847110632 - 加入时间: 2025-11-18, Reason: Secondary_traffic_restricted
603951235698172 - 加入时间: 2025-12-11, Reason: None
603952309499990 - 加入时间: 2025-12-11, Reason: Out_of_stock
603958215022335 - 加入时间: 2025-11-02, Reason: Out_of_stock
603960899398102 - 加入时间: 2025-10-30, Reason: Secondary_traffic_restricted
603961436300788 - 加入时间: 2025-12-08, Reason: Secondary_traffic_restricted
603968147146093 - 加入时间: 2025-10-10, Reason: Secondary_traffic_restricted
603968147152623 - 加入时间: 2025-12-10, Reason: Secondary_traffic_restricted
603968616919417 - 加入时间: 2025-11-20, Reason: None
603971099954365 - 加入时间: 2025-11-21, Reason: Secondary_traffic_restricted
603973247460591 - 加入时间: 2026-01-06, Reason: None
603974321163920 - 加入时间: 2025-11-09, Reason: Secondary_traffic_restricted
603993111644331 - 加入时间: 2025-12-01, Reason: None
604006533442420 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
604009754648866 - 加入时间: 2025-12-11, Reason: Out_of_stock
604012439032178 - 加入时间: 2025-10-21, Reason: Out_of_stock
604023176450583 - 加入时间: 2025-11-14, Reason: Out_of_stock
604032840090439 - 加入时间: 2025-11-25, Reason: None
604033913861925 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
604039819425299 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
604061294259729 - 加入时间: 2025-11-26, Reason: Out_of_stock
604066662992813 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
604068273606904 - 加入时间: 2025-12-06, Reason: Out_of_stock
604085990307586 - 加入时间: 2025-12-04, Reason: Blocked
