================================================================================
动销品管理记录 - 2026-01-27
表名: ROA1_FR
记录时间: 2026-01-28 15:02:00
================================================================================

【统计信息】
日期：2026-01-27
前一天上升期：3个
计算上升期：3个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：3个（选定日期Status=1的数量）
差值：0个
非上升期：446个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：1个
！！！由上升期到非上升期：2个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603614080792249

【由非上升期重回上升期商品ID】
商品数量: 1个
goods_id: 603517444021618

【！！！由上升期到非上升期商品ID】
商品数量: 2个
goods_id: 603512075325776, 604043577549363
603994185370989 - 加入时间: 2025-12-30, Reason: Secondary_traffic_restricted
603999554094772 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
604003849051640 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
604004385960142 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
604006533442420 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
604009754648866 - 加入时间: 2025-12-11, Reason: Out_of_stock
604012439032178 - 加入时间: 2025-10-21, Reason: Out_of_stock
604012439043875 - 加入时间: 2026-01-20, Reason: Normal (Blocking_0127)
604015123340628 - 加入时间: 2025-12-13, Reason: Secondary_traffic_restricted (0127)
604020492049401 - 加入时间: 2025-10-15, Reason: Secondary_traffic_restricted
604023176450583 - 加入时间: 2025-11-14, Reason: Out_of_stock
604027471395717 - 加入时间: 2026-01-18, Reason: Secondary_traffic_restricted (0127)
604028008243528 - 加入时间: 2025-11-13, Reason: Secondary_traffic_restricted
604029082025376 - 加入时间: 2026-01-12, Reason: None
604030155727874 - 加入时间: 2026-01-10, Reason: Secondary_traffic_restricted
604030692602861 - 加入时间: 2025-11-28, Reason: Secondary_traffic_restricted
604032840090439 - 加入时间: 2025-11-25, Reason: None
604033913861925 - 加入时间: 2025-12-05, Reason: Secondary_traffic_restricted
604039819425299 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
604043577549363 - 加入时间: 2026-01-05, Reason: Secondary_traffic_restricted (0127)
604053241168853 - 加入时间: 2025-10-31, Reason: Normal (0127)
604059683652116 - 加入时间: 2025-12-17, Reason: None
604061294259729 - 加入时间: 2025-11-26, Reason: Out_of_stock
604066662992813 - 加入时间: 2025-11-07, Reason: Secondary_traffic_restricted
604068273606904 - 加入时间: 2025-12-06, Reason: Out_of_stock
604077400379806 - 加入时间: 2026-01-11, Reason: Secondary_traffic_restricted
604081695352042 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted (0127)
604085453462669 - 加入时间: 2025-11-28, Reason: Normal (0127)
604085453485918 - 加入时间: 2025-12-23, Reason: Secondary_traffic_restricted (Blocked)
604085990307586 - 加入时间: 2025-12-04, Reason: Blocked
604090822176179 - 加入时间: 2025-11-09, Reason: Normal (Secondary_traffic_restricted_0127)
604091895926869 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
604093170962658 - 加入时间: 2025-12-15, Reason: Secondary_traffic_restricted
604095117154721 - 加入时间: 2025-12-05, Reason: Out_of_stock
604096190844596 - 加入时间: 2025-10-23, Reason: Secondary_traffic_restricted
604098875251847 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
604100485863043 - 加入时间: 2025-12-16, Reason: Secondary_traffic_restricted
604106391451468 - 加入时间: 2025-11-16, Reason: Secondary_traffic_restricted
604106928284411 - 加入时间: 2026-01-26, Reason: Normal (Blocking_0127)
604107465146953 - 加入时间: 2025-11-08, Reason: Blocked
604109075764855 - 加入时间: 2025-12-28, Reason: Normal (Secondary_traffic_restricted_0127)
604114645831965 - 加入时间: 2025-12-22, Reason: None
604114981376666 - 加入时间: 2025-11-19, Reason: Secondary_traffic_restricted
604115518216383 - 加入时间: 2026-01-20, Reason: Secondary_traffic_restricted (0127)
604117665731390 - 加入时间: 2025-11-24, Reason: Out_of_stock
604121423819585 - 加入时间: 2026-01-14, Reason: Secondary_traffic_restricted (0127)
604126792532086 - 加入时间: 2025-12-09, Reason: Secondary_traffic_restricted
604131825671535 - 加入时间: 2025-11-20, Reason: Secondary_traffic_restricted (0127)
604131825683790 - 加入时间: 2025-12-29, Reason: Secondary_traffic_restricted
604132161226149 - 加入时间: 2025-12-22, Reason: None
604132698101606 - 加入时间: 2026-01-01, Reason: Secondary_traffic_restricted
604133234952950 - 加入时间: 2025-12-01, Reason: Secondary_traffic_restricted
604143972371655 - 加入时间: 2025-11-22, Reason: None
604150414814940 - 加入时间: 2026-01-06, Reason: Secondary_traffic_restricted (0127)
604150951697812 - 加入时间: 2025-12-06, Reason: Secondary_traffic_restricted
604160615414220 - 加入时间: 2025-10-29, Reason: Secondary_traffic_restricted
