================================================================================
动销品管理记录 - 2025-12-19
表名: ROA1_IT
记录时间: 2026-01-13 16:50:30
================================================================================

【统计信息】
日期：2025-12-19
前一天上升期：21个
计算上升期：21个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：21个（选定日期Status=1的数量）
差值：0个
非上升期：605个
新增上升期：1个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：4个
！！！由上升期到非上升期：5个

【新增上升期商品ID】
商品数量: 1个
goods_id: 603340813518315

【由非上升期重回上升期商品ID】
商品数量: 4个
goods_id: 603372270760802, 603505095979799, 603640387440388, 603889495573287

【！！！由上升期到非上升期商品ID】
商品数量: 5个
goods_id: 603617838903271, 603728434306468, 603798227500003, 603971636823743, 604256715296309

【上升期商品】
商品数量: 21个

603701590759031 - 加入时间: 2025-11-24, Reason: Out_of_stock
603702127623294 - 加入时间: 2025-11-19, Reason: None
603702664481704 - 加入时间: 2025-12-03, Reason: Secondary_traffic_restricted
603703738242769 - 加入时间: 2025-11-11, Reason: Secondary_traffic_restricted
603705348820785 - 加入时间: 2025-11-22, Reason: None
603705348862346 - 加入时间: 2025-11-06, Reason: Secondary_traffic_restricted
603707496313448 - 加入时间: 2025-11-03, Reason: Secondary_traffic_restricted
603707496316907 - 加入时间: 2025-10-01, Reason: None
603708033174613 - 加入时间: 2025-10-28, Reason: Secondary_traffic_restricted
603710180692355 - 加入时间: 2025-10-20, Reason: Out_of_stock
603710449125439 - 加入时间: 2025-10-05, Reason: Secondary_traffic_restricted
603710918914414 - 加入时间: 2025-11-15, Reason: Secondary_traffic_restricted
603716086290605 - 加入时间: 2025-11-02, Reason: Secondary_traffic_restricted
603717696866111 - 加入时间: 2025-12-04, Reason: Secondary_traffic_restricted
603718770644317 - 加入时间: 2025-10-21, Reason: Out_of_stock
603719307505246 - 加入时间: 2025-11-20, Reason: None
603719508845602 - 加入时间: 2025-11-20, Reason: None
603722528725976 - 加入时间: 2025-11-17, Reason: None
603723803805614 - 加入时间: 2025-11-22, Reason: None
603724139312416 - 加入时间: 2025-11-02, Reason: Out_of_stock
603724139348831 - 加入时间: 2025-11-26, Reason: Secondary_traffic_restricted
603728434306468 - 加入时间: 2025-12-18, Reason: None
603737561083132 - 加入时间: 2025-11-10, Reason: Secondary_traffic_restricted
603740245447038 - 加入时间: 2025-10-16, Reason: Secondary_traffic_restricted
603743466671568 - 加入时间: 2025-10-19, Reason: Secondary_traffic_restricted
603743466693222 - 加入时间: 2025-11-24, Reason: Secondary_traffic_restricted
603744808842564 - 加入时间: 2025-12-14, Reason: None
603746151066557 - 加入时间: 2025-11-25, Reason: Secondary_traffic_restricted
603752593481208 - 加入时间: 2025-12-18, Reason: None
603753130359165 - 加入时间: 2025-11-07, Reason: None
603754740982882 - 加入时间: 2025-11-23, Reason: Secondary_traffic_restricted
