================================================================================
动销品管理记录 - 2025-12-04
表名: ROA1_FR
记录时间: 2025-12-19 10:41:02
================================================================================

【统计信息】
日期：2025-12-04
前一天上升期：32个
计算上升期：38个（前一天上升期 + 新增上升期 + 更新为上升期 + 由非上升期重回上升期 - 由上升期到非上升期）
实际上升期：38个（选定日期Status=1的数量）
差值：0个
非上升期：191个
新增上升期：6个
新增非上升期：0个
更新为上升期：0个
由非上升期重回上升期：9个
！！！由上升期到非上升期：9个

【新增上升期商品ID】
商品数量: 6个
goods_id: 603330076096248, 603641998051661, 603863725750664, 604085990307586, 604285169422244, 604384490581908

【由非上升期重回上升期商品ID】
商品数量: 9个
goods_id: 603382689420791, 603443892741227, 603456777635454, 603466978154121, 603635018785356, 603710918875079, 604081695352042, 604198733216324, 604257788988741

【！！！由上升期到非上升期商品ID】
商品数量: 9个
goods_id: 603368193938133, 603375173266662, 603378931336593, 603390205641872, 603417049161701, 603504559124986, 603613007061098, 603852451502298, 604030692602861

【上升期商品】
商品数量: 38个

604160615414220 - 加入时间: 2025-10-29, Reason: None
604161689134798 - 加入时间: 2025-12-01, Reason: None
604168131599498 - 加入时间: 2025-11-08, Reason: None
604169205286264 - 加入时间: 2025-10-23, Reason: None
604181553361271 - 加入时间: 2025-10-26, Reason: None
604185848308297 - 加入时间: 2025-10-20, Reason: None
604186922049056 - 加入时间: 2025-10-18, Reason: None
604191753914304 - 加入时间: 2025-12-17, Reason: None
604192827609043 - 加入时间: 2025-11-21, Reason: None
604194438219378 - 加入时间: 2025-10-12, Reason: Out_of_stock
604196585701718 - 加入时间: 2025-10-25, Reason: None
604204101916828 - 加入时间: 2025-11-07, Reason: None
604221281827925 - 加入时间: 2025-11-11, Reason: None
604223429255389 - 加入时间: 2025-11-29, Reason: None
604233629835847 - 加入时间: 2025-11-16, Reason: None
604244367222542 - 加入时间: 2025-11-02, Reason: None
604248662223803 - 加入时间: 2025-11-04, Reason: None
604252084791138 - 加入时间: 2025-11-09, Reason: None
604267989554757 - 加入时间: 2025-12-04, Reason: None
604269264604677 - 加入时间: 2025-11-29, Reason: None
604272284556593 - 加入时间: 2025-10-29, Reason: None
604275505767136 - 加入时间: 2025-11-08, Reason: None
604282485100234 - 加入时间: 2025-11-25, Reason: None
604285169419257 - 加入时间: 2025-11-08, Reason: None
604286444531879 - 加入时间: 2025-11-27, Reason: None
604287853808360 - 加入时间: 2025-11-09, Reason: None
604295906869250 - 加入时间: 2025-11-28, Reason: None
604297517440722 - 加入时间: 2025-11-15, Reason: None
604299664916995 - 加入时间: 2025-10-06, Reason: None
604306644269235 - 加入时间: 2025-11-26, Reason: None
604320066012484 - 加入时间: 2025-11-28, Reason: None
604342614646731 - 加入时间: 2025-11-04, Reason: Out_of_stock
604349593941184 - 加入时间: 2025-10-27, Reason: None
604355499538478 - 加入时间: 2025-11-26, Reason: None
604360868229680 - 加入时间: 2025-10-30, Reason: None
604365700067354 - 加入时间: 2025-11-26, Reason: None
604369458154449 - 加入时间: 2025-11-07, Reason: None
604375900621847 - 加入时间: 2025-11-14, Reason: None
604376974334612 - 加入时间: 2025-10-28, Reason: None

================================================================================
